,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
0,KİRALIK 3+1 MANİSA AKGEDİK 2. KAT ARAKAT 3+1 125 m2 FULL ÖZELLİKLİFiyat: 13.000 ₺,13.0,130.0,13-11-2023,2.0,4.0,1,Akgedik,3 + 1,4.0,0.0,1.0,3.0,5.0
1,KİRALIK 3+1 140 m22. Kat Full özellikli İBRAHİM ÇELEBİ MAH,14.0,145.0,13-11-2023,2.0,17.0,1,İbrahimçelebi,3 + 1,5.0,3.0,1.0,3.0,6.0
2,MANİSA MERKEZDE EŞYALI 1+1 KİRALIK DAİRE,9.75,75.0,13-11-2023,1.0,30.0,1,Mimar Sinan,1 + 1,5.0,5.0,1.0,1.0,2.0
3,Kiralık Eşyalı Daire Manisa Karaali villaların orda,15.5,85.0,13-11-2023,2.0,3.0,1,Karaali,1 + 1,3.0,0.0,1.0,1.0,2.0
4,Kiralık Daire Manisa 2.Anafartalar Mah,12.5,90.0,13-11-2023,3.0,28.0,1,2. Anafartalar,2 + 1,6.0,5.0,1.0,2.0,3.0
5,Akhisar Ragıpbey'de Merkezi Konumda Doğalgazlı Kiralık 3+1 Köşe Daire,8.25,130.0,13-11-2023,3.0,25.0,1,Ragıp Bey,3 + 1,3.0,4.0,3.0,3.0,5.0
6,1Cİ ANAFARTALAR MH SİNDE KİRALIK  4 BALKON 3+1  120m2  DAİRA,13.0,135.0,11-11-2023,3.0,30.0,1,2. Anafartalar,3 + 1,6.0,5.0,1.0,3.0,5.0
7,UZUN EMLAK'TAN ŞEHİR MERKEZİNDE ( VERGİ DAİRESİ YAKINI-MALTA'DA) KİRALIK DAİRE,13.5,120.0,10-11-2023,2.0,20.0,1,Tevfikiye,3 + 1,5.0,3.0,1.0,3.0,4.0
8,UNCUBOZKÖY DE KİRALIK 3+1 120 m2 ARAKAT  3 BALKON DAİRE,14.75,135.0,11-11-2023,2.0,25.0,1,Uncubozköy,3 + 1,5.0,4.0,1.0,3.0,5.0
9,UZUN EMLAK'TAN ŞEYH FENARİ CAMİSİ YAKINI 3+1 KİRALIK,14.0,115.0,19-10-2023,1.0,25.0,1,Tevfikiye,3 + 1,5.0,4.0,1.0,3.0,4.0
10,KİRALIK  2+1  100 m2MURADİYE MAH. Önü Açık Ferah Bir Daire,12.0,105.0,08-11-2023,2.0,6.0,1,Muradiye,2 + 1,3.0,1.0,1.0,2.0,4.0
11,"ERGENEKON ""DA KİRALIK DAİRE",12.0,145.0,07-11-2023,2.0,3.0,2,Ergenekon,3 + 1,4.0,0.0,1.0,3.0,6.0
12,Manisa Yunusemre 75.Yıl Mh.Kiralık 3+1 Dubleks  13 Nolu Daire,17.0,140.0,01-11-2023,1.0,0.0,1,75. Yıl,3 + 1,2.0,0.0,1.0,3.0,5.0
13,Manisa M. Devlet Hastanesi Yanı Kiralık 3+1 Daire,12.0,120.0,13-11-2023,1.0,20.0,1,Merkez Efendi,3 + 1,5.0,3.0,2.0,3.0,4.0
14,Akhisar Atatürk Mahallesi'nde 3+1 Kiralık Daire,13.0,138.0,13-11-2023,4.0,1.0,2,Atatürk,3 + 1,4.0,0.0,2.0,3.0,5.0
